Role,Company,Location,Duration,Posted,Skills,Applicants,est_stipend,Gender
Graphic Design,Tanked India,Greater Noida,3 Months,Few hours ago,"Adobe Creative Suite, Adobe Premiere Pro, UI & UX Design, Video Editing",0,3500,Any
Graphic Design,Tanked India,Noida,3 Months,Few hours ago,"Adobe Creative Suite, Adobe Premiere Pro, UI & UX Design, Video Editing",0,3500,Any
Graphic Design,Ultracures Technologies Pvt. Ltd.,WFH,3 Months,Few hours ago,"Adobe Illustrator, Adobe Photoshop, Video Editing",34,6000,Any
UI/UX Design,Prixaro,WFH,3 Months,Few hours ago,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe XD, Figma, Sketch, UI & UX Design, User Interface (UI) Development, Wireframing",64,6250,Any
Marketing,Creative Draft Co,WFH,6 Months,Few hours ago,"Digital Marketing, Email Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM)",50,9000,Any
Web Development,SaaSBanana Technologies,Noida,6 Months,Few hours ago,"CSS, Git, HTML, JavaScript, Next.js, React, REST API, TypeScript",190,11000,Any
AI,"Absolute Intelligence, Inc.",WFH,6 Months,Few hours ago,"CSS, HTML, Microsoft Azure, MongoDB, Next.js, React",354,15000,Any
Market Research,Beyul Pvt. Ltd.,WFH,3 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",0,1000,Any
Law/Legal,Blacktip Legal,Delhi,2 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), Legal Research, MS-Office, MS-Word",0,0,Any
Sales,Silvamore,Mumbai,6 Months,Few hours ago,"Cold Calling, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales, Social Media Marketing",0,9500,Any
Visual Design,Scoreazy Edutech Pvt. Ltd.,WFH,1 Month,Few hours ago,"Canva, Figma, UI & UX Design, Video Editing",37,5000,Any
Marketing,The Trek Adventure,Delhi,5 Months,Few hours ago,Canva,0,10000,Any
Marketing,MIAM Charitable Trust,Mumbai,3 Months,Few hours ago,"Canva, Social Media Marketing, Video Editing",0,9000,Any
Marketing,Knowledge Management & Library Consultants,Pune,6 Months,Few hours ago,"Digital Marketing, Instagram Marketing, Search Engine Marketing (SEM)",0,7500,Any
Market Research,Pawzz,WFH,4 Months,Few hours ago,"Business Development, Collaboration, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Market Analysis, Marketing Strategies , Research and Analytics",68,8000,Any
Public Relations,Delhi Fashion Club,Delhi,3 Months,Few hours ago,"Adobe InDesign, Adobe Photoshop, Canva, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Event Management, Graphic Design, Social Media Marketing",0,27600,Any
Sales,DevTown,WFH,4 Months,Few hours ago,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Sales",133,20000,Any
Sales,TheCryptoVines,WFH,3 Months,Few hours ago,"Email Marketing, English Proficiency (Spoken), Social Media Marketing",0,6000,Any
Graphic Design,Marketing Espy,WFH,3 Months,Few hours ago,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, ChatGPT, CorelDRAW",0,9750,Any
AI,Weya AI,Noida,6 Months,Few hours ago,"Analytical Thinking, Artificial intelligence, Attention to Detail, Collaboration, Conflict Management, Coordination, Effective Communication, Interpersonal skills, MS-Excel, MS-Office, MS-Word, Problem Solving, Quality Assurance/Quality Control (QA/QC), Self-learning, Software Testing, Teamwork, Time Management",0,4000,Any
Administration,Cipla,Mumbai,6 Months,Few hours ago,"Effective Communication, MS-Office, Power BI",0,12500,Any
Graphic Design,Marketing Espy,WFH,6 Months,Few hours ago,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Video Editing, Video Making",0,9250,Any
Marketing,Ridhima Sethi Salon And Makeup Studio,Delhi,1 Month,Few hours ago,"Content Editing, Digital Marketing, English Proficiency (Written), Instagram Marketing, Photography, Video Editing",0,7000,Any
Marketing,Symconverge,Ahmedabad,1 Month,Few hours ago,"Content Marketing, Email Marketing, Lead Generation, Marketing, Market research, Social Media Marketing",0,6500,Any
Web Development,Repro India Ltd. (Bookscape),Greater Noida,3 Months,Few hours ago,"JavaScript, Node.js",74,15000,Any
Web Development,Repro India Ltd. (Bookscape),Noida,3 Months,Few hours ago,"JavaScript, Node.js",74,15000,Any
Graphic Design,Agility AI Pvt. Ltd.,WFH,6 Months,Few hours ago,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, Canva, CorelDRAW, Video Editing",144,5000,Any
Video Making/Editing,Studio Obscura,Delhi,2 Months,Few hours ago,"Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making",0,5500,Any
Law/Legal,M A GANI ASSOCIATES,Navi Mumbai,6 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word",0,2750,Any
Marketing,Jaikrit Marketing And Branding Solutions LLP,Mumbai,6 Months,Few hours ago,"Adobe Creative Suite, Canva, Creative Writing, English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Video Editing, Video Making",0,5500,Any
Marketing,Jaikrit Marketing And Branding Solutions LLP,Mira Bhayandar,6 Months,Few hours ago,"Adobe Creative Suite, Canva, Creative Writing, English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Video Editing, Video Making",0,5500,Any
Marketing,KriDaanC,WFH,2 Months,Few hours ago,"Adobe After Effects, Adobe Illustrator, Capcut, Digital Marketing, Instagram Marketing, Market Analysis, Marketing Campaigns , Sales Management, Sales Strategy, Sales Support",39,1500,Any
Graphic Design,Birthday Bash Kanpur,WFH,6 Months,Few hours ago,"Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Video Editing",45,4000,Any
Marketing,Festivefeel,WFH,3 Months,Few hours ago,"Creative Writing, Digital Marketing, English Proficiency (Written), Facebook Marketing, Instagram Marketing, Social Media Marketing",39,5000,Any
Lead Generation,Visionpack,Mumbai,6 Months,Few hours ago,"Data Analytics, English Proficiency (Spoken), MS-Excel, MS-Office, Research and Analytics, Social Media Marketing",0,7500,Any
Sales,Kamya Global,Delhi,1 Month,Few hours ago,"Content Writing, Sales Support",0,5000,Any
Talent Acquisition,Shilputsi Consultants,Mumbai,6 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel",0,22500,Any
Marketing,Dietboite,Bangalore,3 Months,Few hours ago,"Social Media Marketing, Videography, Video Making",0,7500,Any
Software,SimplifiedMinds,Bangalore,1 Month,Few hours ago,"CSS, Firebase, HTML, Java, JavaScript, MySQL, PHP, Python",74,5500,Any
Video Making/Editing,Adnation360,WFH,6 Months,Few hours ago,"Adobe Photoshop, Adobe Premiere Pro, AI Video Generation, Canva, Final Cut Pro, Generative AI Tools, Video Editing, Video Making",52,10000,Any
Law/Legal,Ourlegalpartners,Delhi,2 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Office",0,2000,Any
Social Media,Design Talk,WFH,3 Months,Few hours ago,Canva,55,5000,Any
Graphic Design,Dhiraj Tewari,WFH,3 Months,Few hours ago,"Adobe Illustrator, Adobe Photoshop",0,4000,Any
Video Making/Editing,Early Edge Club,WFH,4 Months,Few hours ago,"Adobe Illustrator, Adobe Photoshop, Capcut, English Proficiency (Spoken), Final Cut Pro, Video Making",0,2500,Any
Graphic Design,The Minimalist,Mumbai,3 Months,Few hours ago,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop",0,10000,Any
Graphic Design,Woro Media,WFH,2 Months,Few hours ago,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW, UI & UX Design, Video Editing",35,2500,Any
Marketing,Route To Smile Healthcare Pvt. Ltd.,Mumbai,3 Months,Few hours ago,"Digital Marketing, Email Marketing, Social Media Marketing",0,12500,Any
Market Research,Visioapps Technology Pvt. Ltd.,Gurgaon,2 Months,Few hours ago,Research and Analytics,0,10000,Any
Sales,AEGISTECH INNOVATIONS (OPC) PRIVATE LIMITED,WFH,1 Month,Few hours ago,"Community Management, Effective Communication, Sales Management",28,5000,Any
HR,APEX Acreages Pvt. Ltd.,Gurgaon,2 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written)",0,9000,Any
Marketing,Knowhow Projects,Vadodara,6 Months,Few hours ago,"Canva, Content Writing, English Proficiency (Spoken), English Proficiency (Written), Graphic Design, Instagram Marketing, Video Editing",0,10000,Any
Video Making/Editing,Abhishek  Jha,WFH,1 Month,Few hours ago,"Hindi Proficiency (Spoken), Video Editing",44,7000,Any
Marketing,Digiplustech,Noida,3 Months,Few hours ago,"Content Writing, Copywriting, Creative Writing, Design Thinking, Effective Communication, Instagram Marketing, LinkedIn Marketing, Search Engine Optimization (SEO), Social Media Marketing, Time Management",0,7500,Any
Market Research,Envecon Global Solutions Pvt. Ltd.,Mumbai,6 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word",0,7500,Any
Marketing,ENSETT,WFH,2 Months,Few hours ago,"Creative Writing, Social Media Marketing",64,3500,Any
Marketing,Richfield Ventures,WFH,6 Months,Few hours ago,"Content Writing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Social Media Marketing",45,15000,Any
Operations,Yuyiii Stays And Travels Pvt. Ltd.,Bangalore,6 Months,Few hours ago,"Adaptability, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Interpersonal skills, MS-Excel, MS-Word, Self-learning, Teamwork, Time Management",0,9000,Any
Sales,PC Media House,WFH,6 Months,Few hours ago,"Effective Communication, Interpersonal skills, MS-Excel, MS-Office, Sales, Sales Management, Sales Strategy, Sales Support",0,27500,Female
Web Development,Digipioneer,WFH,3 Months,Few hours ago,"Amazon Web Services (AWS), Bloc, Express.js, FastAPI, Firebase, Flutter, GetX, GitHub, Netlify, Node.js, PostgreSQL, Vercel",27,1750,Any
Sales,BreakInterview,WFH,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Marketing",0,2000,Any
Marketing,Papaji's Kitchen,WFH,3 Months,Few hours ago,"Content Marketing, Creative Writing, Instagram Ads, Social Media Marketing, Video Editing",96,14000,Any
HR,Maxsell,Chennai,3 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel",0,2250,Any
Marketing,Eduminatti,Lucknow,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Written), Search Engine Optimization (SEO)",0,2050,Any
Telecalling,Foonix,WFH,6 Months,Few hours ago,"Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken)",96,12500,Any
Sales,Blitz India Engineering,Pune,3 Months,Few hours ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written)",0,13500,Any
Video Making/Editing,Abhishek Sinngh,WFH,3 Months,Few hours ago,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Video Making",139,11000,Any
Sales,AI Certs,WFH,2 Months,Few hours ago,"LinkedIn Marketing, Sales",139,20000,Any
Marketing,REDA,WFH,6 Months,Few hours ago,"Canva, HubSpot",85,11000,Any
Graphic Design,Internet Minds,Kolkata,3 Months,Few hours ago,"Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, CorelDRAW",0,4000,Any
Marketing,Mindenious Edutech,Chennai,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Coimbatore,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Guntur,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Kurnool,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Madurai,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Tirupati,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Visakhapatnam,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Mumbai,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Kanchipuram,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Jaipur,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Kakinada,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Salem,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Vellore,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Vishakhapatnam,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Marketing,Mindenious Edutech,Maharashtra,2 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Social Media Marketing",0,10500,Any
Software,NCA IT Solutions,Noida,2 Months,Few hours ago,"Express.js, MongoDB, Node.js, React Native",162,3500,Any
Sales,WebAziz,WFH,3 Months,Few hours ago,"Digital Marketing, English Proficiency (Spoken), MS-Excel, Sales Management, Sales Strategy",49,12500,Any
Sales,Spark N Pass Next Gen Pvt. Ltd.,WFH,3 Months,Few hours ago,"Branding, Client Interaction, Client Relationship, Digital Marketing, Lead Generation, Marketing Campaigns , Search Engine Optimization (SEO)",0,7500,Any
Content Writing,Kshitiksha Foundation,WFH,1 Month,Few hours ago,"Autodesk 3ds Max, Content Writing, Creative Writing, English Proficiency (Written)",33,0,Any
Marketing,Power Platform Software Solutions,Pune,6 Months,Few hours ago,"Digital Marketing, Instagram Marketing, Search Engine Marketing (SEM), Social Media Marketing",0,5500,Any
HR,Quest 4 Crest,Delhi,6 Months,Few hours ago,"MS-Excel, MS-Word",0,13000,Any
Sales,ModScale,Bangalore,3 Months,Few hours ago,"English Proficiency (Spoken), MS-Excel, Sales",0,10000,Any
Sales,ServiceHive,WFH,6 Months,Few hours ago,"Cold Calling, Data entry, Digital Marketing, Document Review, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), MS-Excel, Report Writing, Sales Support, Social Media Marketing",46,13000,Any
Sales,Logixi Technologies,Pimpri-Chinchwad,6 Months,Few hours ago,"Email Marketing, English Proficiency (Spoken), Lead Generation, LinkedIn Marketing, Sales Management",0,9000,Any
Accounts,Shrishti Interiors And Architects,Patna,2 Months,Few hours ago,"Accounting, MS-Excel",0,12500,Any
Sales,ICarry,WFH,6 Months,Few hours ago,"Digital Marketing Tools, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Lead Generation, Social Media Marketing",0,6500,Any
Sales,Stanza Living,Pune,2 Months,Few hours ago,"Conversion Rate Optimization, Effective Communication, English Proficiency (Spoken)",0,7500,Any
Web Development,StackIOT Technologies Pvt. Ltd.,Gurgaon,6 Months,Few hours ago,"Node.js, React",219,15000,Any
Psychology,Tripta Foundation,Nala Sopara,6 Months,Few hours ago,"Counseling, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Marathi Proficiency(Spoken), Psychology",0,5000,Any
Recruitment,Nibodhah,Ahmedabad,2 Months,Few hours ago,"Effective Communication, English Proficiency (Spoken), MS-Excel",0,6500,Any
Marketing,Staypocket Pvt. Ltd.,Noida,3 Months,Few hours ago,"Facebook Ads, Google AdWords, Instagram Ads, Paid Advertising, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",0,10000,Any
Marketing,Madverse,Delhi,3 Months,Few hours ago,"Google AdWords, Performance Marketing, Search Engine Optimization (SEO), Social Media Marketing",0,15000,Any
Marketing,Baweja Media,WFH,6 Months,Few hours ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",146,9000,Any
Sales,Ramada Encore By Wyndham Gurugram Dwarka Expressway,Gurgaon,6 Months,Few hours ago,"Effective Communication, Interpersonal skills, Self-learning",0,7000,Any
Marketing,Dr. Solanki Eye Hospital,Bangalore,2 Months,Few hours ago,"English Proficiency (Written), MS-Excel",0,19000,Any
Sales,Travifai,WFH,3 Months,Few hours ago,"Client Relationship, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-Office, Sales",33,11500,Any
Sales,WatchOut Wearables,Mumbai,6 Months,Few hours ago,"English Proficiency (Spoken), Hindi Proficiency (Spoken)",0,7000,Female
Analytics,Maxgen Technologies Pvt. Ltd.,Pune,3 Months,Few hours ago,"Data Analysis, Data Analytics",166,9500,Any
Graphic Design,Webiizy Solutions,WFH,1 Month,Few hours ago,"Adobe Illustrator, Adobe Photoshop, CorelDRAW",74,4000,Any
Teaching,Jain Tutorials,Mumbai,2 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Teaching",0,5000,Any
Travel & Tourism,LEELA INTERNATIONAL TOURS AND TRAVELS,Kolkata,3 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), Holiday Package Design, MS-Excel, Travel Itinerary Making",0,12000,Any
Graphic Design,Omeducom Solutions Pvt. Ltd.,Jaipur,6 Months,Few hours ago,"Adobe After Effects, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, Canva, UI & UX Design, Video Editing",0,5000,Any
Marketing,Mindenious Edutech,Chennai,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Coimbatore,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Delhi,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Pune,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Tirupati,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Kanchipuram,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Jaipur,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Salem,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Nagpur,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Coimbatore South,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Vellore,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Bangalore,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Villupuram,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Tiruchi,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Marketing,Mindenious Edutech,Tirchy,4 Months,Few hours ago,"Effective Communication, Marketing, Marketing Campaigns , Marketing Strategies , Market research, MS-Excel",31,10000,Any
Operations,AD Globe,WFH,3 Months,Few hours ago,"Data entry, English Proficiency (Spoken), English Proficiency (Written), MS-Excel",70,10000,Any
Marketing,Elythra Edufyi Tech Solutions,WFH,1 Month,Few hours ago,"Lead Generation, Teamwork",76,10500,Any
Marketing,Aone Outsourcing Solutions Pvt Ltd,Ghaziabad,6 Months,Few hours ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",0,7501,Any
SEO,Rightcliq Concepts Pvt Ltd,WFH,6 Months,Few hours ago,"Digital Marketing, Search Engine Optimization (SEO)",90,12500,Any
Marketing,Scaling Wolves,Kolkata,3 Months,Few hours ago,"Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Ads, Facebook Marketing, Instagram Ads, Shopify",0,7500,Any
Graphic Design,Equilateral Advisory LLP,WFH,6 Months,Few hours ago,"Adobe Illustrator, Adobe Photoshop, Canva, MS-PowerPoint, Video Making",81,7500,Any
Administration,VAY EXIM LLP,WFH,3 Months,Few hours ago,"Attention to Detail, Data entry, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Problem Solving, Self-learning",55,6000,Any
Sales,Vocman India Pvt. Ltd.,Delhi,6 Months,Few hours ago,"Sales, Sales Strategy",0,12000,Any
Sales,Skillolite,WFH,3 Months,Few hours ago,"Effective Communication, Email Marketing, Lead Generation, Sales",0,3850,Any
Fundraising,SAHAJ SAMAGAM FOUNDATION KHANDWA,Indore,3 Weeks,Few hours ago,"Community Management, English Proficiency (Spoken), English Proficiency (Written)",0,9000,Any
Fundraising,SAHAJ SAMAGAM FOUNDATION KHANDWA,Mumbai,3 Weeks,Few hours ago,"Community Management, English Proficiency (Spoken), English Proficiency (Written)",0,9000,Any
Fundraising,SAHAJ SAMAGAM FOUNDATION KHANDWA,Indianapolis (United States),3 Weeks,Few hours ago,"Community Management, English Proficiency (Spoken), English Proficiency (Written)",0,9000,Any
Fundraising,SAHAJ SAMAGAM FOUNDATION KHANDWA,Delhi,3 Weeks,Few hours ago,"Community Management, English Proficiency (Spoken), English Proficiency (Written)",0,9000,Any
Marketing,Nextdotventures LLP,WFH,3 Months,Few hours ago,"Content Writing, Image Editing, Poster Design, Search Engine Optimization (SEO)",45,2500,Any
Sales,Prime Infoserv Pvt. Ltd.,WFH,3 Months,Few hours ago,"B2B Sales, Client Interaction, Cold Calling, Cybersecurity, Inside Sales, Lead Generation",0,5000,Any
Business Strategy,Square Panda,Mumbai,3 Months,Few hours ago,MS-Office,0,9000,Any
Founders Office,FarmtoCups,WFH,3 Months,Few hours ago,"Content Marketing, Operations, Sales, Social Media Marketing",0,7250,Any
Fundraising,Yash Consultant,WFH,3 Months,Few hours ago,"Facebook Ads, Google AdWords",0,10000,Any
Mobile Dev,Apurva Software Solutions,WFH,3 Months,Few hours ago,"Angular, Bootstrap, CSS, HTML, Ionic, JavaScript, MySQL, Node.js, REST API",38,2000,Any
Visual Design,InAmigos Foundation,WFH,2 Weeks,Few hours ago,English Proficiency (Spoken),36,3500,Any
Sales,Acelucid Technologies,Dehradun,6 Months,Few hours ago,"Cold Calling, Lead Generation, Teamwork",0,12500,Any
Graphic Design,ModezTech,WFH,6 Months,Few hours ago,"Figma, Interaction Design, UI & UX Design, UX Research, Wireframing",42,6500,Any
Business Development,YesVini Technologies,Delhi,6 Months,Few hours ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Presentation skills, Typing",0,8500,Any
AI,I Educate Myself Daily Foundation,WFH,1 Month,Few hours ago,"Artificial intelligence, Canva, Content Marketing, Content Writing, Copywriting, Creative Writing, Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Market Analysis, Marketing, Marketing Campaigns , Marketing Strategies , Marketing Strategy, Market research, Social Media Marketing, Video Editing, Video Making",276,95000,Any
UI/UX Design,Siva Prakash B,WFH,1 Month,Few hours ago,"Adobe Illustrator, Adobe XD, Canva, Design Thinking, Figma, Sketch, UI & UX Design, User Interface (UI) Development, Wireframing",72,2500,Any
Market Research,Flora Peach,Delhi,3 Months,Few hours ago,"Canva, MS-Office, MS-PowerPoint, Research and Analytics",0,6250,Any
Marketing,Queen Temple Skincare Products / Deeva Essentials,Delhi,6 Months,Few hours ago,"Canva, Content Management, Effective Communication, Google Workspace, Social Media Marketing",0,9000,Any
Sales,PropEdge Realty,Pune,3 Months,Few hours ago,"Marketing, Sales",0,32500,Any
Marketing,Mindenious Edutech,WFH,2 Months,Few hours ago,"Email Marketing, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-Office",110,8000,Any
Marketing,Helios Tech,Chandigarh,6 Months,Few hours ago,"Canva, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Social Media Marketing",0,12500,Any
Marketing,Helios Tech,Mohali,6 Months,Few hours ago,"Canva, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Social Media Marketing",0,12500,Any
Marketing,Helios Tech,Sahibzada Ajit Singh Nagar,6 Months,Few hours ago,"Canva, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Social Media Marketing",0,12500,Any
Marketing,Helios Tech,Punjab,6 Months,Few hours ago,"Canva, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Social Media Marketing",0,12500,Any
Marketing,Helios Tech,Himachal Pradesh,6 Months,Few hours ago,"Canva, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Social Media Marketing",0,12500,Any
Telecalling,ChemSource Marketing,Thane,6 Months,Few hours ago,"Business Development, MS-Excel, Sales",0,6500,Any
Telecalling,ChemSource Marketing,Mumbai,6 Months,Few hours ago,"Business Development, MS-Excel, Sales",0,6500,Any
Telecalling,ChemSource Marketing,Navi Mumbai,6 Months,Few hours ago,"Business Development, MS-Excel, Sales",0,6500,Any
