Role,Company,Location,Duration,Posted,Skills,Applicants,est_stipend,Gender
Recruitment,Novonesis,Bangalore,6 Months,3 days ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",76,20000,Any
Fundraising,AAF,Mumbai,3 Months,3 days ago,"Effective Communication, Interpersonal skills, Networking, Research and Analytics",0,7500,Any
Marketing,Kesari Tours Pvt. Ltd.,Mumbai,6 Months,4 days ago,"Digital Marketing, Email Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",177,12500,Any
Agriculture & Food Engineering,DeHaat,Pune,3 Months,4 days ago,"Data entry, Effective Communication, Lead Generation, MS-Excel",28,7500,Any
Marketing,Premier Shield Pvt. Ltd.,Delhi,6 Months,4 days ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",89,6250,Any
Content Writing,Times Internet,Noida,6 Months,4 days ago,"Creative Writing, English Proficiency (Written)",189,9500,Any
HR,Aditya Birla Fashion & Retail Ltd.,Bangalore,6 Months,6 days ago,"Advanced Excel, English Proficiency (Spoken), English Proficiency (Written)",88,6000,Any
Graphic Design,Enrich Hair And Skin Solutions Pvt. Ltd.,Mumbai,3 Months,6 days ago,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro",52,11000,Any
Recruitment,BSA Corporation Ltd.,Pune,6 Months,7 days ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment, Resume screening",105,5000,Any
Recruitment,BSA Corporation Ltd.,Bangalore,6 Months,7 days ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment, Resume screening",105,5000,Any
HR,Freecharge Payments Technology Pvt. Ltd.,Jaipur,6 Months,7 days ago,Effective Communication,340,12500,Any
Sales,Shriram Life Insurance Company Ltd.,Lucknow,2 Months,7 days ago,Financial planning,47,12500,Any
Marketing,Times Internet,Mumbai,6 Months,1 week ago,English Proficiency (Spoken),657,9500,Any
Video Making/Editing,Amnet Systems Pvt. Ltd.,Chennai,1 Month,1 week ago,"Video Editing, Video Making",0,10000,Any
Sales,Urban Company,Vadodara,6 Months,1 week ago,MS-Excel,56,20500,Any
Sales,Urban Company,Jaipur,6 Months,1 week ago,MS-Excel,56,20500,Any
Video Making/Editing,603 The CoWorking Space India,Mumbai,6 Months,1 week ago,"3D Modeling, C++ Programming, Color Correction, C Programming, Creativity, JavaScript, Network protocols, Python, Time Management, Video Marketing",47,19000,Any
Video Making/Editing,603 The CoWorking Space India,Bandra,6 Months,1 week ago,"3D Modeling, C++ Programming, Color Correction, C Programming, Creativity, JavaScript, Network protocols, Python, Time Management, Video Marketing",47,19000,Any
Graphic Design,Petpooja,Ahmedabad,6 Months,1 week ago,"Adobe Illustrator, Adobe Photoshop",170,9500,Any
Sales,Shriram Life Insurance Company Ltd.,Lucknow,2 Months,1 week ago,"English Proficiency (Written), Finance, Marketing",42,12500,Any
Sales,Aditya Birla Fashion & Retail Ltd. (ABFRL),Navi Mumbai,6 Months,1 week ago,Sales,96,30001,Any
Sales,Aditya Birla Fashion & Retail Ltd. (ABFRL),Borivali Tarf Rahur,6 Months,1 week ago,Sales,96,30001,Any
Sales,Aditya Birla Fashion & Retail Ltd. (ABFRL),Kurla,6 Months,1 week ago,Sales,96,30001,Any
Sales,Aditya Birla Fashion & Retail Ltd. (ABFRL),Panvel Sub-District,6 Months,1 week ago,Sales,96,30001,Any
