Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Business Development (Sales),LearnXIndia,Work from home,"₹ 3,000 - 10,000 /month",3 Months,1 day ago,,"Effective Communication
English Proficiency (Spoken)
Interpersonal skills",45 applicants
Videographer,VedArya,Mumbai,"₹ 8,000 - 15,000 /month",1 Month,1 day ago,,"CMS (Content Management System)
Content Editing
Photography
Videography",Be an early applicant
E-commerce Executive,My Pooja Box,Delhi,"₹ 15,000 - 20,000 /month",3 Months,1 day ago,,MS-Excel,54 applicants
Media & Public Relations (PR),Rishikul Suvidha Kendra & Rishikul Webhub Private Limited,Work from home,"₹ 5,000 - 10,000 /month",1 Month,1 day ago,,"Anchoring
Creative Writing
English Proficiency (Spoken)
English Proficiency (Written)
Report Writing
Video Making",64 applicants
Business Development (Sales),Social Sizzle Media,Noida,"₹ 7,000 - 15,000 /month",3 Months,1 day ago,,"Digital Marketing
Lead Generation
Sales
Sales Strategy",Be an early applicant
Human Resources (HR),Harajuku Tokyo Cafe,Noida,"₹ 5,000 /month",6 Months,1 day ago,,"Document Management
English Proficiency (Written)
MS-Excel
MS-Office
Recruitment
Statutory compliances",63 applicants
Accounts,Sustainable Minds LLP,Kolkata                                                                (Hybrid),"₹ 6,000 - 8,000 /month",6 Months,1 day ago,,"Accounting
Procurement
Tally
Taxation
Vendor Negotiation",42 applicants
Content and Social Media Marketing,Natureship,Mumbai                                                                (Hybrid),"₹ 4,000 - 5,000 /month",6 Months,1 day ago,,"Branding
Content Management
Content Marketing
Digital Marketing
Storytelling
Strategy",Be an early applicant
Sales and Marketing,FORWRD,Work from home,"₹ 5,000 - 10,000 /month",3 Months,1 day ago,,"Data Analytics
Google Analytics
Interpersonal skills
Lead Generation
Market Analysis
Search Engine Optimization (SEO)
Self-learning
Social Media Marketing",80 applicants
Online Social Science Faculty For School Kids,Vikalp India Private Limited,Work from home,"₹ 6,000 - 9,000 /month",6 Months,1 day ago,,Online Teaching,168 applicants
Customer Sales Executive,Coding Craft,Work from home,"₹ 5,000 - 10,000 /month",2 Months,1 day ago,,"English Proficiency (Spoken)
Hindi Proficiency (Spoken)
MS-Excel",87 applicants
Administration,Atarg Fitness Studio LLP,Ghaziabad,"₹ 9,000 - 15,000 /month",6 Months,1 day ago,,"Effective Communication
Operations",Be an early applicant
Law/Legal,Nirwani Associates,Delhi,"₹ 2,500 /month",2 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
MS-Word",Be an early applicant
Social Media Marketing,Eqmaxtech.com,Kochi,"₹ 22,000 /month",3 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing",Be an early applicant
Graphic Design,Task Robots,Jaipur,"₹ 5,000 - 7,000 /month",3 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
CorelDRAW
Video Editing",Be an early applicant
Business Development (Sales),ALFASTACK SOLUTION PRIVATE LIMITED,Work from home,"₹ 3,000 - 6,000 /month",4 Months,1 day ago,,"Artificial intelligence
Business Development
Client Relationship Management (CRM)
Effective Communication
Enterprise Resource Planning(ERP)
Interpersonal skills
Public Speaking
Sales Strategy",41 applicants
Business Development (Sales),Whitefield Network,Work from home,"₹ 4,000 /month",6 Months,1 day ago,,"Digital Marketing
Social Media Marketing",30 applicants
MySQL & Data Science Development,FlexiEle Consulting Services Private Limited,Work from home,"₹ 12,000 - 15,000 /month",6 Months,1 day ago,,"Data Analytics
Data Science
MySQL",841 applicants
Graphic Design,WeKids Media Network,Work from home,"₹ 10,000 - 12,000 /month",3 Months,1 day ago,,"Adobe Photoshop Lightroom CC
Animation
Canva
CorelDRAW",411 applicants
Business Development (Sales),Tulot Tech Labs,Work from home,"₹ 7,000 - 13,000 /month",3 Months,1 day ago,,"English Proficiency (Spoken)
MS-Excel
Social Media Marketing",55 applicants
Front End Development,EG Allied Private Limited,Work from home,"₹ 2,000 - 10,000 /month",3 Months,1 day ago,,"JavaScript
React",1000+ applicants
Sales and Marketing,WELLNETIC,Delhi,"₹ 3,000 - 5,000 /month",3 Months,1 day ago,,"Branding
Effective Communication
MS-Excel
Professional Development",Be an early applicant
Social Media Marketing,EvolveNow Media,Mumbai                                                                (Hybrid),"₹ 14,000 /month",3 Months,1 day ago,,"Canva
Creative Writing
Instagram Marketing
Social Media Marketing",50 applicants
Video Editing/Making,CreditZilla,Work from home,"₹ 3,500 - 5,000 /month",1 Month,1 day ago,,"Video Editing
Video Making",44 applicants
Video Editing/Making,Online Reading Tutor,Work from home,"₹ 5,000 - 10,000 /month",3 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",82 applicants
Marketing,Carving Lab,Bhubaneswar,"₹ 3,000 - 8,000 /month",2 Months,1 day ago,,Market research,Be an early applicant
Graphic Design,PeakPals,"Delhi, Noida                                                                (Hybrid)","₹ 8,000 /month",2 Months,1 day ago,,"Adobe After Effects
Adobe Illustrator
Adobe InDesign
Adobe Photoshop",42 applicants
Finance & Accounting,Aurel David,Bangalore                                                                (Hybrid),"₹ 2,000 - 2,500 /month",3 Months,1 day ago,,"Derivatives
Equity Research
Finance
Financial Analysis
Financial Modeling
Python
Stock Trading",Be an early applicant
Media & Public Relations (PR),Gurukool Superpower Prodigy Foundation,Work from home,"₹ 5,000 - 5,001 /month",3 Months,1 day ago,,"English Proficiency (Written)
Social Media Marketing",48 applicants
Marketing,Yellow Shutter Productions,Pune                                                                (Hybrid),"₹ 8,000 - 17,000 /month",3 Months,1 day ago,,"Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)",Be an early applicant
Digital Marketing,GeekSpoc IT Services,Bangalore                                                                (Hybrid),"₹ 5,000 - 10,000 /month",6 Months,1 day ago,,"Canva
Facebook Ads
Google AdWords
Google Keyword Planner
Search Engine Optimization (SEO)",Be an early applicant
Data Entry,Lawtech,Work from home,"₹ 6,000 - 8,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-PowerPoint",1000+ applicants
Video Editing/Making,Arterns Technologies,Work from home,"₹ 5,500 - 8,000 /month",3 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",93 applicants
CXO Assistant – Founders Office,Purple Cat Marketing,Work from home,"₹ 4,000 - 7,000 /month",4 Months,1 day ago,,"Adobe Creative Suite
Business Research
Digital Marketing
Effective Communication
Sales
Social Media Marketing
Video Editing",36 applicants
Business Development (Sales),Cadmium India,"Delhi, Noida                                                                (Hybrid)","₹ 10,000 - 19,000 /month",3 Months,1 day ago,,"Cold Calling
Email Marketing",Be an early applicant
Online Marketing Manager,CodeBlocks,Work from home,"₹ 3,500 - 5,000 /month",1 Month,1 day ago,,"Facebook Ads
Google AdWords
Instagram Ads
LinkedIn Ads",53 applicants
Logistics And Operations,BabyMD,Bangalore,"₹ 15,000 - 20,000 /month",3 Months,1 day ago,,"Effective Communication
MS-Excel
MS-Word",30 applicants
Video Editing/Making,Virtual Team,Work from home,"₹ 1,000 - 1,001 /month",1 Month,1 day ago,,"Adobe Photoshop
Canva
Video Editing
Video Making",38 applicants
Operations,MiStay,Bangalore                                                                (Hybrid),"₹ 8,000 - 12,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel",29 applicants
Teaching,RK Public School,Satna,"₹ 2,000 - 5,000 /month",4 Months,1 day ago,,"Computer Vision
English Proficiency (Spoken)
English Proficiency (Written)",Be an early applicant
Human Resources (HR) Manager,Inspiredge IT Solutions Private Limited,Visakhapatnam,"₹ 5,000 - 5,001 /month",3 Months,1 day ago,,"Effective Communication
Human Resources",Be an early applicant
React Native Development (For Community App),FlexiEle Consulting Services Private Limited,Work from home,"₹ 12,000 - 15,000 /month",6 Months,1 day ago,,"PostgreSQL
React Native
REST API",162 applicants
Agronomy Manager,Cosy Farms,Mumbai,"₹ 8,000 - 12,000 /month",2 Months,1 day ago,,"Crop Management
MS-Excel
MS-Word",Be an early applicant
Graphic Design,Webdos Technologies,Work from home,"₹ 1,000 - 5,000 /month",6 Months,1 day ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Photoshop Lightroom CC
Adobe Premiere Pro
CorelDRAW
UI & UX Design
Video Editing",107 applicants
Digital Marketing,Dataillam Private Limited,Chennai,"₹ 11,000 - 22,000 /month",2 Months,1 day ago,,"Digital Marketing
English Proficiency (Written)
Instagram Marketing
LinkedIn Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Content and Social Media Marketing,Mantra Yoga And Meditation School,Work from home,"₹ 3,500 - 5,000 /month",6 Months,1 day ago,,"Blogging
Content Management
Content Marketing
Email Management
Image Editing
Marketing Automation
Marketing Strategy
Search Engine Optimization (SEO)
Video Editing
Video Marketing
WordPress",55 applicants
Business Development (Sales),SunSource Energy,Noida,"₹ 10,000 - 15,000 /month",2 Months,1 day ago,,Interpersonal skills,37 applicants
Business Development (Sales),Antino Labs Private Limited,"Gurgaon, Bangalore","₹ 15,000 - 20,000 /month",6 Months,1 day ago,,"Client Relationship
Client Relationship Management (CRM)
Effective Communication
Lead Generation
Negotiation
Sales",31 applicants
Video Editing/Making,Basti Ki Pathshala Foundation,Work from home,Unpaid,3 Months,1 day ago,,Video Editing,44 applicants
Local Changemaker,NayePankh Foundation,Work from home,Unpaid,1 Month,1 day ago,,English Proficiency (Written),26 applicants
Flutter Development,She Can Foundation,Work from home,Unpaid,3 Months,1 day ago,,"Android
Firebase
Flutter
iOS",104 applicants
Web Development,She Can Foundation,Work from home,Unpaid,3 Months,1 day ago,,"HTML
JavaScript",1000+ applicants
Human Resources (HR),Basti Ki Pathshala Foundation,Ghaziabad,"₹ 15,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)",97 applicants
Video Editing/Making,Starting Core,Work from home,"₹ 2,000 /month",2 Months,1 day ago,,"Adobe Illustrator
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",41 applicants
Human Resources (HR),Helpmate Solution,Ghaziabad,"₹ 7,000 - 15,000 /month",3 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office",53 applicants
Content Development (Logical Reasoning),VISHVASNIYA EDUCATION FOUNDATION,Gurgaon                                                                (Hybrid),"₹ 4,000 - 6,000 /month",6 Months,1 day ago,,"Computer skills
Creative Writing
English Proficiency (Written)
MS-Office",Be an early applicant
Digital Marketing,Lohitech Solutions,Work from home,"₹ 2,000 - 5,000 /month",2 Months,1 day ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Written)
Social Media Marketing
Video Editing",195 applicants
Full Stack Development,Astute Lex Servicado Private Limited,Work from home,"₹ 10,000 /month",6 Months,1 day ago,,"CSS
HTML
JavaScript
MySQL
Python
React",1000+ applicants
Telecalling,Kunal Group Of Realtors,Pune,"₹ 10,000 - 22,000 /month",6 Months,1 day ago,,"Effective Communication
English Proficiency (Spoken)
Hindi Proficiency (Spoken)
Marathi Proficiency(Spoken)",Be an early applicant
AI Research,Wild Mind AI,Ahmedabad,"₹ 6,000 /month",6 Months,1 day ago,,"Market Analysis
Report Writing
Research and Analytics",78 applicants
Social Media Marketing,Profitence Wealth,Surat,"₹ 5,000 - 7,000 /month",6 Months,1 day ago,,"Email Marketing
English Proficiency (Written)
LinkedIn Marketing
Social Media Marketing",Be an early applicant
Customer Acquisition,Sampley,Work from home,"₹ 6,000 - 1,15,000 /month",4 Months,1 day ago,,"Email Marketing
English Proficiency (Spoken)
MS-Office
Negotiation
Sales",377 applicants
Graphic Design,Unbound,Work from home,"₹ 7,001 - 10,002 /month",3 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Canva
Video Editing",69 applicants
Bioinformatics Analyst - Immune Repertoire Sequencing,MyImmune,Work from home,"₹ 10,000 - 30,000 /month",3 Months,1 day ago,,"Bioinformatics
Immunology
Python",155 applicants
Online Marketing,Wayspire Ed-Tech Private Limited,Work from home,"₹ 1,500 - 7,500 lump sum",1 Month,1 day ago,,Marketing,149 applicants
Marketing,Wayspire Ed-Tech Private Limited,Work from home,"₹ 2,000 - 7,500 lump sum",1 Month,1 day ago,,Marketing,192 applicants
Salesforce Developer (Marketing Cloud),Consultadd,Work from home,"₹ 3,000 - 6,000 /month",1 Month,1 day ago,,Salesforce,35 applicants
Field Market Survey,Shivani T,Bangalore,"₹ 15,000 /month",1 Month,1 day ago,,Effective Communication,Be an early applicant
Sales and Marketing,Buzzifi,Work from home,"₹ 7,000 - 10,000 /month",3 Months,1 day ago,,"Business Development
Client Relationship Management (CRM)
Cold Calling
Digital Marketing
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Lead Generation
MS-Excel
Negotiation
Sales
Sales Management
Time Management",64 applicants
Growth Associate,Cookzy,Bangalore                                                                (Hybrid),"₹ 10,000 - 15,001 /month",6 Months,1 day ago,,"Customer Support
Digital Marketing
Onboarding
Operations
Social Media Marketing
Video Making",Be an early applicant
Shopify Website Intern – Build A Store That Actually Converts,The Cover Up Project,Mumbai,"₹ 7,000 /month",3 Months,1 day ago,,"CSS
CSS3
HTML
HTML 5
JavaScript
Shopify
UI & UX Design
WordPress",57 applicants
Business Development (Sales),"STEM-Xpert, Techgenius Innovations Pvt Ltd",Work from home,"₹ 4,200 - 55,000 /month",3 Months,1 day ago,,"Consulting
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel",50 applicants
Video Editing/Making,Pride Infotech,Lucknow,"₹ 10,000 - 20,000 /month",3 Months,1 day ago,,"Content Editing
Video Editing
Video Making",Be an early applicant
Research In Mental Health,WeDidIt,Work from home,Unpaid,1 Month,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Research and Analytics",66 applicants
Content Writing,Infigon Futures,Work from home,"₹ 2,000 /month",3 Months,1 day ago,,"Blogging
Creative Writing
Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Search Engine Optimization (SEO)
Social Media Marketing",673 applicants
Book Research & Promotion – Social Impact,WeDidIt,Work from home,Unpaid,1 Month,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)",Be an early applicant
Law/Legal,WeDidIt,Work from home,Unpaid,1 Month,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)",Be an early applicant
Apparel Merchandising,Morni Fashions,Jaipur,"₹ 2,000 - 3,000 /month",3 Months,1 day ago,,"Management
MS-Excel
MS-Word
Operations
Planning",Be an early applicant
Content Writing,WeDidIt,Work from home,Unpaid,1 Month,1 day ago,,"Creative Writing
English Proficiency (Written)",107 applicants
Graphic Design,Gursidak Foundation,Work from home,Unpaid,3 Months,1 day ago,,Adobe Photoshop,Be an early applicant
Graphic Design,Innate Gamma Private Limited,Work from home,"₹ 2,000 - 5,000 /month",3 Months,1 day ago,,"Adobe Photoshop
CorelDRAW
UI & UX Design
Video Editing",117 applicants
WhatsApp Marketing,Wayspire Ed-Tech Private Limited,Work from home,"₹ 1,500 - 15,000 lump sum",1 Month,1 day ago,,Marketing,189 applicants
Book Marketing,WeDidIt,Work from home,Unpaid,1 Month,1 day ago,,"Marketing
Sales",48 applicants
"Power BI Intern (GJEPC India, BKC)",Indian Institute Of Gems And Jewellery,Mumbai,"₹ 15,000 /month",3 Months,1 day ago,,"Advanced Excel
Analytical Thinking
Data Analytics
Data Cleaning
Data Visualization
Effective Communication
Power BI
Problem Solving
Python
Python Libraries
SQL",299 applicants
Digital Marketing,WeDidIt,Work from home,Unpaid,1 Month,1 day ago,,Digital Marketing,138 applicants
Data Entry,Total Transport System Limited,Mumbai,"₹ 15,000 - 18,000 /month",3 Months,1 day ago,,"MS-Excel
MS-Office
Typing",122 applicants
Backend Development,Zi Cloud,Mumbai,"₹ 10,000 /month",3 Months,1 day ago,,"Amazon Web Services (AWS)
Automation
CSS
Django
Git
HTML
HTML 5
LLM evaluation
MongoDB
MySQL
Node.js
Python
Python Libraries
REST API
Selenium",186 applicants
Graphic Designer,Jerphy,Delhi                                                                (Hybrid),"₹ 15,000 /month",4 Months,1 day ago,,"Adobe Illustrator
Adobe Photoshop
Canva
CorelDRAW",57 applicants
Web Development,MyImmune,Work from home,"₹ 10,000 - 15,000 /month",6 Months,1 day ago,,"JavaScript
Next.js
React",1000+ applicants
Marketing Copywriter,Jet Learn,"Delhi, Gurgaon, Noida","₹ 12,000 - 15,000 /month",3 Months,1 day ago,,"Content Writing
Copywriting
Creative Thinking
Creative Writing
English Proficiency (Written)
Generative AI Tools
Social Media Marketing",129 applicants
Graphic Design,ADORE,Work from home,Unpaid,3 Months,1 day ago,,"Adobe Photoshop
Canva",115 applicants
Digital Marketing,Happy Holidays,Pimpri-Chinchwad,"₹ 7,000 - 15,000 /month",6 Months,1 day ago,,"Canva
Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
MS-Office
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Telecalling,Highway Delite,Work from home,"₹ 4,000 - 5,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
Hindi Proficiency (Spoken)
Kannada Proficiency (Spoken)
Tamil Proficiency (Spoken)
Telugu Proficiency (Spoken)",216 applicants
Human Resources (HR),The Affordable Organic Store,Work from home,"₹ 8,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office",469 applicants
Human Resources (HR),Mars Elevator,Gurgaon,"₹ 12,000 - 20,000 /month",4 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word
Office Management",232 applicants
Backend Developer,Deepvue Technologies,Work from home,"₹ 20,000 - 25,000 /month",2 Months,1 day ago,,"Amazon EC2
Amazon RDS
Amazon S3
Django
FastAPI
HTML
MongoDB
MySQL
Python
REST API",941 applicants
Sponsorship Management,Indian Mental Health Summit,Work from home,"₹ 10,000 - 12,000 /month",4 Months,1 day ago,,"Market Analysis
Marketing Campaigns 
Marketing Strategies 
Marketing Strategy
Market research
Sales Management
Sales Strategy",46 applicants
Video Editing/Making,Sage Media,Jaipur,"₹ 5,000 - 10,000 /month",6 Months,1 day ago,,"Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",Be an early applicant
Creative Stylist,Brand Catapult,Delhi,"₹ 5,000 - 10,000 /month",3 Months,1 day ago,,"Creative Direction
Creative Thinking",40 applicants
Sales and Marketing,Quintus Tech Pvt Ltd,"Jabalpur, Indore, Bhopal","₹ 7,000 - 12,000 /month",2 Months,1 day ago,,"Effective Communication
Interpersonal skills",Be an early applicant
Sales and Marketing,TANKED IND AQUATIC KINGDOM,Ghaziabad,"₹ 2,000 - 3,000 /month",6 Months,1 day ago,,Effective Communication,Be an early applicant
Human Resources (HR),Target HR,Bangalore                                                                (Hybrid),"₹ 8,000 - 10,000 /month",3 Months,1 day ago,,"Effective Communication
English Proficiency (Spoken)
Interpersonal skills
LinkedIn Marketing
MS-Excel
Recruitment",36 applicants
Sales,Go IP Global Services Private Limited,Noida,"₹ 12,000 - 18,000 /month",6 Months,1 day ago,,"Effective Communication
Lead Generation
Negotiation",Be an early applicant
Market Research,Integral Industrial Services Private Limited,Work from home,"₹ 6,000 - 15,000 /month",3 Months,1 day ago,,"English Proficiency (Written)
Internet
MS-Office
Research and Analytics",266 applicants
Lead Generation,Tripple One Solutions,Work from home,"₹ 3,000 - 10,000 /month",1 Month,1 day ago,,"Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing",171 applicants
Software Engineer - Frontend,Nicola Tech,"Gurgaon, Noida","₹ 15,000 - 30,000 /month",3 Months,1 day ago,,"CSS
HTML
JavaScript
Next.js
React
Tailwind CSS",595 applicants
Administration,Inreach Medical Services,Delhi,"₹ 2,000 - 4,000 /month",3 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-PowerPoint
MS-Word",Be an early applicant
Digital Marketing,Cilpesentix Infotech,Work from home,"₹ 6,000 - 16,500 /month",3 Months,1 day ago,,"Creative Writing
Digital Marketing
Facebook Marketing
Instagram Marketing
Social Media Marketing",249 applicants
WordPress Development,SKU Creations,"Ghaziabad, Meerut, Modinagar, Muradnagar, Noida","₹ 10,000 - 12,000 /month",3 Months,1 day ago,,"Shopify
WordPress",39 applicants
Front End Development,Cilpesentix Infotech,Work from home,"₹ 1,000 - 1,500 /month",6 Months,1 day ago,,"Angular
CSS
HTML
JavaScript
React
REST API",1000+ applicants
Market Research,Glassbox Ventures,Mumbai,"₹ 14,000 - 15,000 /month",3 Months,1 day ago,,"Digital Marketing
Effective Communication
Market Analysis
Market research
MS-Excel
Research and Analytics",30 applicants
Sales Intern,Moxo,Bangalore                                                                (Hybrid),"₹ 30,000 /month",6 Months,1 day ago,,"Cold Calling
Effective Communication
Email Marketing",Be an early applicant
Business Development (Sales),GradX Academy,"Pune, Narhe","₹ 26,000 - 40,000 /month",3 Months,1 day ago,,"Client Relationship Management (CRM)
Cold Calling
Effective Communication
English Proficiency (Spoken)
Hindi Proficiency (Spoken)
Marathi Proficiency(Spoken)
Presentation skills
Sales
Sales Management",27 applicants
FPV Drone Pilot And Developer,Indian Robotics Solution,Noida,"₹ 8,000 - 10,000 /month",3 Months,1 day ago,,C Programming,99 applicants
Artificial Intelligence (AI),DeepThought CultureTech Ventures Pvt Ltd.,Tadipatri,"₹ 20,000 /month",6 Months,1 day ago,,"Artificial intelligence
Data Science
Google Sheets",187 applicants
Talent Acquisition,ConsultBae,Work from home,"₹ 5,000 - 10,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
Recruitment",200 applicants
Marketing,Bootstart Spaces And Hospitality Private Limited,Pune,"₹ 7,000 - 15,000 /month",3 Months,1 day ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing",Be an early applicant
Human Resources (HR),ConsultBae,Work from home,"₹ 5,000 - 10,000 /month",6 Months,1 day ago,,"English Proficiency (Spoken)
Recruitment",303 applicants
Human Resources (HR),Throttle Theory,Work from home,"₹ 5,000 - 6,000 /month",4 Months,1 day ago,,"English Proficiency (Spoken)
MS-Excel
MS-Office
MS-Word
Negotiations",477 applicants
E-Commerce Operations,STARTUP SQUAD PRIVATE LIMITED,Gurgaon,"₹ 7,500 - 15,000 /month",6 Months,1 day ago,,"ChatGPT
E-commerce
Shopify
Web Design",124 applicants
Content and Social Media Marketing,The Dessert Box,Jodhpur                                                                (Hybrid),"₹ 600 - 2,000 /week",3 Weeks,1 day ago,,"Content Editing
Design Thinking
Image Editing
Photography
Poster Design
Social Media Marketing",Be an early applicant
Graphic Design,Mars Elevator,Gurgaon,"₹ 12,000 - 20,000 /month",4 Months,1 day ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Photoshop Lightroom CC
Adobe Premiere Pro
Canva
CorelDRAW
UI & UX Design
Video Editing",125 applicants
Architecture,MIX-DESIGN,Pune,"₹ 10,000 - 11,000 /month",6 Months,1 day ago,,"Adobe Photoshop
AutoCAD
Google SketchUp",Be an early applicant
Human Resources (HR),ProTeam Softwares India Private Limited,Chennai,"₹ 7,500 /month",3 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office",45 applicants
Whatsapp Manager,Budding Mariners,Work from home,"₹ 2,000 /month",4 Months,1 day ago,,"Canva
Community Management
Effective Communication
Time Management",67 applicants
Graphic Design,Shruti Sushma,"Ahmedabad, Bangalore","₹ 18,000 - 25,000 /month",6 Months,1 day ago,,"Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Photoshop Lightroom CC
ChatGPT
MidJourney (GenAI)",Be an early applicant
Full Stack Development,Coding Junior,Work from home,"₹ 10,000 - 15,000 /month",6 Months,1 day ago,,"APIs
CSS
Golang
HTML
JavaScript
MySQL
Next.js
Node.js
React
TypeScript",597 applicants
Recruitment,Go Flo,Delhi,"₹ 3,500 - 11,000 /month",6 Months,1 day ago,,"English Proficiency (Written)
MS-Excel
MS-Office
Recruitment
Resume screening",31 applicants
Data Science,DeepThought CultureTech Ventures Pvt Ltd.,Work from home,"₹ 7,000 /month",1 Month,1 day ago,,"BeautifulSoup
Google Sheets
Python
Selenium",690 applicants
Human Resources (HR),Fitness 2020,Work from home,"₹ 4,500 - 15,000 lump sum",3 Months,1 day ago,,English Proficiency (Spoken),325 applicants
Data Entry,Fitness 2020,Work from home,"₹ 5,000 - 12,000 lump sum",3 Months,1 day ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office",1000+ applicants
Business Development (Sales),Rural Development Society,Work from home,"₹ 1,000 - 3,800 /month",2 Weeks,1 day ago,,"Email Marketing
English Proficiency (Written)
MS-Excel",51 applicants
Campus Ambassador,Better,Work from home,Performance Based,3 Months,1 day ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Leadership
Networking
Social Media Marketing
Team Management
Time Management",49 applicants
Full Stack Development,Seeqlo,Work from home,"₹ 20,000 - 40,000 /month",1 Month,1 day ago,,"Firebase
Java
JavaScript
Node.js",901 applicants
Content Creation Internship,Ableon Connect Private Limited,Work from home,"₹ 2,000 - 4,000 /month",2 Months,1 day ago,,"Adobe Premiere Pro
Content Marketing
Creative Thinking
Effective Communication
Public Speaking
Social Media Marketing
Video Editing",40 applicants
PPC Analyst Assistant – Amazon (Night Shift),Big Internet E-commerce Private Limited,Work from home,"₹ 8,000 - 10,000 /month",3 Months,1 day ago,,"Analytical Thinking
Critical thinking
Data Analysis
Data Interpretation
Paid Advertising",285 applicants
UX/UI Design,Immense Inc.,Work from home,"₹ 10,000 - 15,000 /month",6 Months,1 day ago,,".NET
Angular
Figma
HTML
REST API",558 applicants
Influencer Marketing,Marketing Geeks,Work from home,"₹ 2,000 /month",3 Months,1 day ago,,"Market Analysis
Marketing Campaigns 
Marketing Strategies 
Market research
Social Media Marketing",29 applicants
AI Engineer,The Email Mafia,Work from home,"₹ 50,000 - 1,00,000 /month",3 Months,1 day ago,,"Artificial intelligence
Machine Learning
MERN
Node.js
Python
Software Testing
System Design",498 applicants
Email Marketing Associate,The Email Mafia,Work from home,"₹ 35,000 - 50,000 /month",3 Months,1 day ago,,"Email Management
Email Marketing
Mailchimp",104 applicants
Marketing Delegate,EduVeda Academy,Work from home,"₹ 15,000 - 20,000 /month",1 Month,1 day ago,,"Effective Communication
Interpersonal skills
Marketing Campaigns 
Marketing Strategy",269 applicants
Graphic Design,Ryt Click,Delhi,"₹ 5,000 - 9,000 /month",6 Months,1 day ago,,"Adobe Photoshop
Canva",43 applicants
Social Service,Pawzz Foundation,Work from home,"₹ 1,500 - 8,000 /month",1 Month,1 day ago,,"Business Analysis
Client Relationship
Content Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Marketing
Problem Solving
Project Management
Social Media Marketing
Time Management",139 applicants
Content & E-Commerce Management,Bookland International,Mumbai,"₹ 5,000 /month",6 Months,1 day ago,,"Computer skills
MS-Excel",Be an early applicant
1 Week Fundraising,She Can Foundation,Work from home,"₹ 1,500 - 10,000 lump sum",1 Week,1 day ago,,Effective Communication,95 applicants
Operations Ninja,The Email Mafia,Work from home,"₹ 20,000 - 35,000 /month",3 Months,1 day ago,,"Content Editing
Content Writing
Effective Communication
Management
Social Media Marketing",64 applicants
