Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Video Editing/Making,Raghav Chadha,Delhi                                                                (Hybrid),"₹ 5,000 /month",2 Months,2 days ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",71 applicants
Financial Stock Market Research,Focus Wise Solution,Work from home,"₹ 2,000 - 4,000 /month",1 Month,2 days ago,,"Accounting
English Proficiency (Spoken)
Financial Modeling
Investing
MS-Excel
MS-Office
Portfolio Management
Tally",496 applicants
Social Media Marketing,Adda247,Gurgaon,"₹ 9,000 - 10,000 /month",6 Months,3 days ago,,"Adobe Illustrator
Adobe Premiere Pro
Digital Marketing
Instagram Marketing
Marketing Campaigns 
Social Media Marketing
Video Making",119 applicants
Ruby On Rails,PlanetSpark,"Delhi, Gurgaon, Noida","₹ 15,000 /month",3 Months,3 days ago,,Ruby on Rails,1000+ applicants
Sales Manager,Pradeep Kumar,Delhi                                                                (Hybrid),"₹ 7,000 - 60,000 /month",2 Months,3 days ago,,"Effective Communication
English Proficiency (Spoken)
Hindi Proficiency (Spoken)
Interpersonal skills",52 applicants
User Research,Leap Finance,Bangalore,"₹ 20,000 - 25,000 /month",3 Months,3 days ago,,"Analytical Thinking
Design Thinking
Effective Communication
User flows
User Stories",81 applicants
Sales & Marketing,Paracoat Products Limited,Gurgaon,"₹ 9,000 - 10,000 /month",3 Months,3 days ago,,"Client Relationship
Database Management System (DBMS)
Effective Communication
Lead Generation
Market research
MS-Excel",65 applicants
Human Resources (HR),Community Action Through Motivation Program,Bhopali,"₹ 3,000 /month",2 Months,3 days ago,,"MS-Excel
MS-Word",Be an early applicant
Search Engine Optimization (SEO),Sportskeeda,Work from home,"₹ 8,000 - 10,000 /month",6 Months,3 days ago,,"Digital Marketing
Google Analytics
Search Engine Optimization (SEO)",1000+ applicants
Sharepoint Developer - Operational Excellence,Abbott,Mumbai,"₹ 8,000 - 10,000 /month",2 Months,3 days ago,,Microsoft SharePoint,42 applicants
Recruitment,Novonesis,Bangalore                                                                (Hybrid),"₹ 18,000 - 22,000 /month",6 Months,3 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office",76 applicants
Fundraising,AAF,Mumbai                                                                (Hybrid),"₹ 5,000 - 10,000 /month",3 Months,3 days ago,,"Effective Communication
Interpersonal skills
Networking
Research and Analytics",Be an early applicant
